key_set_dim,dataset_dim,key_index,time_taken
1000,1000,111,12
1000,1000,142,15
1000,1000,200,22
1000,1000,333,9
1000,1000,666,18
1000,1000,800,5
1000,1000,857,12
1000,1000,888,15
1000,2000,111,24
1000,2000,142,30
1000,2000,200,44
1000,2000,333,18
1000,2000,666,36
1000,2000,800,11
1000,2000,857,23
1000,2000,888,29
1000,3000,111,37
1000,3000,142,46
1000,3000,200,64
1000,3000,333,27
1000,3000,666,54
1000,3000,800,16
1000,3000,857,35
1000,3000,888,44
1000,4000,111,48
1000,4000,142,61
1000,4000,200,86
1000,4000,333,36
1000,4000,666,71
1000,4000,800,22
1000,4000,857,46
1000,4000,888,59
1000,5000,111,60
1000,5000,142,77
1000,5000,200,107
1000,5000,333,44
1000,5000,666,89
1000,5000,800,27
1000,5000,857,57
1000,5000,888,75
2000,1000,222,24
2000,1000,285,31
2000,1000,400,43
2000,1000,666,18
2000,1000,1333,36
2000,1000,1600,11
2000,1000,1714,23
2000,1000,1777,30
2000,2000,222,48
2000,2000,285,61
2000,2000,400,86
2000,2000,666,36
2000,2000,1333,72
2000,2000,1600,22
2000,2000,1714,46
2000,2000,1777,60
2000,3000,222,72
2000,3000,285,91
2000,3000,400,129
2000,3000,666,53
2000,3000,1333,107
2000,3000,1600,32
2000,3000,1714,70
2000,3000,1777,89
2000,4000,222,95
2000,4000,285,122
2000,4000,400,172
2000,4000,666,71
2000,4000,1333,143
2000,4000,1600,43
2000,4000,1714,92
2000,4000,1777,121
2000,5000,222,131
2000,5000,285,162
2000,5000,400,231
2000,5000,666,98
2000,5000,1333,191
2000,5000,1600,58
2000,5000,1714,125
2000,5000,1777,156
3000,1000,333,35
3000,1000,428,46
3000,1000,600,67
3000,1000,1000,27
3000,1000,2000,54
3000,1000,2400,17
3000,1000,2571,35
3000,1000,2666,45
3000,2000,333,71
3000,2000,428,92
3000,2000,600,129
3000,2000,1000,55
3000,2000,2000,108
3000,2000,2400,33
3000,2000,2571,69
3000,2000,2666,90
3000,3000,333,107
3000,3000,428,138
3000,3000,600,194
3000,3000,1000,87
3000,3000,2000,169
3000,3000,2400,48
3000,3000,2571,104
3000,3000,2666,134
3000,4000,333,144
3000,4000,428,186
3000,4000,600,258
3000,4000,1000,113
3000,4000,2000,225
3000,4000,2400,66
3000,4000,2571,146
3000,4000,2666,188
3000,5000,333,184
3000,5000,428,239
3000,5000,600,336
3000,5000,1000,143
3000,5000,2000,276
3000,5000,2400,82
3000,5000,2571,182
3000,5000,2666,239
4000,1000,444,51
4000,1000,571,64
4000,1000,800,88
4000,1000,1333,37
4000,1000,2666,73
4000,1000,3200,23
4000,1000,3428,47
4000,1000,3555,63
4000,2000,444,102
4000,2000,571,128
4000,2000,800,187
4000,2000,1333,73
4000,2000,2666,144
4000,2000,3200,44
4000,2000,3428,98
4000,2000,3555,124
4000,3000,444,145
4000,3000,571,187
4000,3000,800,275
4000,3000,1333,115
4000,3000,2666,220
4000,3000,3200,65
4000,3000,3428,144
4000,3000,3555,185
4000,4000,444,194
4000,4000,571,257
4000,4000,800,359
4000,4000,1333,154
4000,4000,2666,304
4000,4000,3200,95
4000,4000,3428,191
4000,4000,3555,244
4000,5000,444,242
4000,5000,571,313
4000,5000,800,448
4000,5000,1333,196
4000,5000,2666,378
4000,5000,3200,112
4000,5000,3428,231
4000,5000,3555,313
5000,1000,555,64
5000,1000,714,80
5000,1000,1000,116
5000,1000,1666,49
5000,1000,3333,95
5000,1000,4000,30
5000,1000,4285,61
5000,1000,4444,80
5000,2000,555,127
5000,2000,714,162
5000,2000,1000,225
5000,2000,1666,90
5000,2000,3333,182
5000,2000,4000,55
5000,2000,4285,116
5000,2000,4444,151
5000,3000,555,179
5000,3000,714,231
5000,3000,1000,324
5000,3000,1666,135
5000,3000,3333,270
5000,3000,4000,81
5000,3000,4285,174
5000,3000,4444,226
5000,4000,555,239
5000,4000,714,308
5000,4000,1000,435
5000,4000,1666,180
5000,4000,3333,359
5000,4000,4000,111
5000,4000,4285,254
5000,4000,4444,301
5000,5000,555,298
5000,5000,714,383
5000,5000,1000,539
5000,5000,1666,226
5000,5000,3333,449
5000,5000,4000,135
5000,5000,4285,290
5000,5000,4444,378
